date,ticker,high,low,open,prev close,close,change,% change,volume,turnover,deals,bids,offers,mktcap
2026-08-17,SWIS,2600,2570,2570,2580,2580,0.39,10.062,2112,5456080,30,10969,2578,92.9
2026-08-17,TBL,9950,9900,9930,9940,9940,0.1,9.94,3745,37214950,41,12,684,2932.9
2026-08-17,TCC,12600,12500,12500,12580,12580,0.64,80.512,757,9517700,17,10440,0,1258.0
2026-08-17,TCCL,4000,4000,3950,4000,4000,1.27,50.8,1600,6400000,21,15248,15288,764.1
2026-08-17,TOL,1660,1500,1490,1500,1500,0.67,10.05,2549,3833730,51,3539,4554,86.3
2026-08-17,TPCC,6100,6000,6050,6060,6060,0.17,10.302,3232,19596980,46,3076,56,1090.3
2026-08-17,TTP,515,475,450,500,500,11.11,55.55,1580,786030,25,174,3832,47.5
2026-08-17,USL,0,0,30,0,30,0.0,0.0,0,0,0,2440,0,11.0
2026-08-17,VERTEX-ETF,350,335,335,340,340,1.49,5.066,81062,27370275,218,1612,17127,18.4
2026-08-17,VODA,1040,1020,1020,1030,1030,0.98,10.094,90892,93578110,268,93724,15961,2307.2
2026-08-17,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-18,AFRIPRISE,625,620,620,625,625,0.81,5.062500000000001,33684,20992075,139,7157,49790,91.3
2026-08-18,CRDB,2710,2660,2690,2680,2680,,,353959,948656030,1373,125541,167673,6999.7
2026-08-18,DCB,605,530,530,600,600,13.21,79.25999999999999,295266,177504790,293,51758,0,115.0
2026-08-18,DSE,6570,6400,6570,6440,6440,,,1955,12618060,19,2808,3290,153.4
2026-08-18,EABL,0,0,5600,0,5560,,,0,0,0,47,0,4396.7
2026-08-18,IEACLC-ETF,1360,1350,1360,1350,1350,,,37917,51227650,63,120898,119002,190.5
2026-08-18,JATU,0,0,265,0,265,0.0,0.0,0,0,0,20,400,5.3
2026-08-18,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,245,0,626.9
2026-08-18,KA,0,0,120,0,115,,,0,0,0,150,0,653.4
2026-08-18,KCB,1990,1950,1960,1980,1980,1.02,20.196,22920,45293680,48,12523,6300,5881.3
2026-08-18,MBP,1750,1550,1690,1610,1610,,,3646,5901060,31,5462,965,48.3
2026-08-18,MCB,465,400,405,420,420,3.7,15.540000000000004,119117,50213470,217,39219,29783,103.9
2026-08-18,MKCB,3800,3720,3780,3720,3720,,,4185,15604700,38,804,6271,87.6
2026-08-18,MUCOBA,450,440,450,450,450,0.0,0.0,1450,650145,12,35,5728,14.7
2026-08-18,NICO,4100,3990,3990,4020,4020,0.75,30.15,260628,1020259610,111,5190,21607,247.8
2026-08-18,NMB,18000,17680,17710,17700,17700,,,243505,4309969950,777,13016,82907,8850.0
2026-08-18,NMG,0,0,265,0,260,,,0,0,0,133,0,49.0
2026-08-18,PAL,345,310,320,320,320,0.0,0.0,5074,1612330,56,3937,15693,51.4
2026-08-18,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
2026-08-18,SWIS,2600,2520,2580,2560,2560,,,1650,4233790,28,16261,2421,92.2
2026-08-18,TBL,9900,9800,9940,9800,9800,,,821,8066000,25,52,659,2891.6
2026-08-18,TCC,12800,12500,12580,12520,12520,,,1602,20059900,28,114,8,1252.0
2026-08-18,TCCL,4000,3660,4000,3860,3860,,,3827,14806780,26,16944,35153,737.3
2026-08-18,TOL,1700,1500,1500,1580,1580,5.33,84.214,13900,21984800,49,4790,4880,90.9
2026-08-18,TPCC,6060,6000,6060,6030,6030,,,4369,26346060,56,986,3111,1084.9
2026-08-18,TTP,500,490,500,500,500,0.0,0.0,226,112620,18,115,13200,47.5
2026-08-18,USL,0,0,30,0,30,0.0,0.0,0,0,0,2210,0,11.0
2026-08-18,VERTEX-ETF,340,325,340,330,330,,,24371,8014080,135,0,72348,17.8
2026-08-18,VODA,1040,1010,1030,1030,1030,0.0,0.0,130410,133935360,289,27981,7531,2307.2
2026-08-18,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-19,AFRIPRISE,630,600,625,615,615,,,61997,38287835,229,11020,74333,89.8
2026-08-19,CRDB,2720,2660,2680,2690,2690,0.37,9.953,705744,1900379800,1275,126290,31252,7025.9
2026-08-19,DCB,685,580,600,625,625,4.17,26.0625,147388,92207390,304,15457,148628,119.7
2026-08-19,DSE,6600,6400,6440,6540,6540,1.55,101.37,1398,9138520,26,2622,2484,155.8
2026-08-19,EABL,0,0,5560,0,5710,2.7,154.17000000000002,0,0,0,0,0,4515.3
2026-08-19,IEACLC-ETF,1380,1350,1350,1360,1360,0.74,10.064,492777,669742240,88,71823,71642,191.9
2026-08-19,JATU,270,270,265,270,270,1.89,5.103,360,97200,3,60,40,5.4
2026-08-19,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,401,0,626.9
2026-08-19,KA,0,0,115,0,115,0.0,0.0,0,0,0,140,0,653.4
2026-08-19,KCB,1990,1970,1980,1980,1980,0.0,0.0,268872,524777540,45,10316,9036,5881.3
2026-08-19,MBP,1850,1750,1610,1770,1770,9.94,175.938,6814,12059620,37,1026,729,53.1
2026-08-19,MCB,480,420,420,450,450,7.14,32.129999999999995,80848,36274390,211,24522,75497,111.3
2026-08-19,MKCB,3800,3700,3720,3770,3770,1.34,50.518,1897,7151920,21,1786,3101,88.8
2026-08-19,MUCOBA,450,430,450,450,450,0.0,0.0,390,174900,7,612,5463,14.7
2026-08-19,NICO,4020,3990,4020,4000,4000,,,13540,54203480,73,4290,54460,246.6
2026-08-19,NMB,17700,17670,17700,17700,17700,0.0,0.0,238991,4229030080,1058,9096,10525,8850.0
2026-08-19,NMG,0,0,260,0,255,,,0,0,0,122,0,48.1
2026-08-19,PAL,345,300,320,305,305,,,14297,4405535,59,4020,33066,48.9
2026-08-19,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
2026-08-19,SWIS,2600,2550,2560,2560,2560,0.0,0.0,3085,7901400,30,16371,1721,92.2
2026-08-19,TBL,9950,9800,9800,9870,9870,0.71,70.077,1511,14892450,28,10,750,2912.2
2026-08-19,TCC,12520,12300,12520,12520,12520,0.0,0.0,285,3522500,15,9970,15,1252.0
2026-08-19,TCCL,4000,3660,3860,3710,3710,,,2798,10426130,21,15760,24699,708.7
2026-08-19,TOL,1700,1660,1580,1690,1690,6.96,117.624,22976,38835920,58,16251,70,97.2
2026-08-19,TPCC,6100,5980,6030,6000,6000,,,3878,23280940,56,2017,9963,1079.5
2026-08-19,TTP,490,475,500,500,500,0.0,0.0,205,99320,13,71,12653,47.5
2026-08-19,USL,0,0,30,0,30,0.0,0.0,0,0,0,1210,0,11.0
2026-08-19,VERTEX-ETF,345,330,330,335,335,1.52,5.092,181533,60822480,107,5856,0,18.1
2026-08-19,VODA,1040,1010,1030,1030,1030,0.0,0.0,136376,140276310,170,38043,29040,2307.2
2026-08-19,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-20,AFRIPRISE,625,615,615,620,620,0.81,5.022000000000001,150219,93131005,214,12308,34421,90.5
2026-08-20,CRDB,2710,2650,2690,2690,2690,0.0,0.0,579755,1553256130,1091,100953,123490,7025.9
2026-08-20,DCB,680,535,625,555,555,,,63361,35117830,147,753,131720,106.3
2026-08-20,DSE,6570,6250,6540,6340,6340,,,1787,11335520,11,1031,3980,151.0
